id_transmission,id_pays,besoin_arv_min,besoin_arv_median,besoin_arv_max,pourcentage_recu_min,pourcentage_recu_median,pourcentage_recu_max
70,114,1400.0,1600.0,2000.0,48.0,58.0,70.0
71,115,65000.0,100000.0,140000.0,28.0,44.0,62.0
72,118,2700.0,3200.0,3800.0,8.0,10.0,12.0
73,119,200.0,500.0,500.0,83.0,92.0,95.0
74,120,910.0,1200.0,1500.0,59.0,79.0,95.0
75,121,200.0,500.0,500.0,60.0,88.0,95.0
76,122,880.0,1100.0,1500.0,67.0,85.0,95.0
77,123,500.0,500.0,500.0,15.0,18.0,22.0
78,125,100.0,200.0,200.0,,,
79,128,200.0,500.0,500.0,54.0,73.0,95.0
80,130,200.0,200.0,200.0,95.0,95.0,95.0
81,132,6000.0,8100.0,9400.0,79.0,95.0,95.0
82,134,1800.0,2200.0,2500.0,56.0,65.0,75.0
83,140,500.0,500.0,730.0,14.0,19.0,31.0
84,141,210000.0,290000.0,350000.0,63.0,87.0,95.0
85,142,7200.0,9900.0,13000.0,41.0,56.0,74.0
86,143,200.0,500.0,500.0,,,
87,145,760.0,2000.0,3700.0,2.0,5.0,9.0
88,146,100.0,100.0,100.0,84.0,95.0,95.0
89,150,500.0,500.0,560.0,39.0,46.0,56.0
90,151,3200.0,3900.0,4500.0,81.0,95.0,95.0
91,153,4200.0,5400.0,6200.0,62.0,80.0,92.0
92,158,81000.0,100000.0,120000.0,73.0,93.0,95.0
93,159,1900.0,2200.0,2500.0,89.0,95.0,95.0
94,162,62000.0,83000.0,98000.0,70.0,93.0,95.0
95,164,100.0,200.0,200.0,71.0,95.0,95.0
96,165,1400.0,1500.0,1600.0,33.0,35.0,38.0
97,167,2000.0,2400.0,2800.0,69.0,81.0,95.0
98,168,200.0,500.0,500.0,8.0,13.0,20.0
99,169,38000.0,48000.0,57000.0,94.0,95.0,95.0
100,170,48000.0,63000.0,76000.0,71.0,94.0,95.0
